id,suite,task,substrate,variant,plasticity,budget,seed,status,measurement
13c6ff70616bb3bba1f2dcef,drone,attitude,malecns,real,joint,20000,1,ready,unmeasured
0986b65fd6705ff02c168ea9,drone,attitude,malecns,degree_rewired,joint,20000,1,ready,unmeasured
d525193de74097d35554a336,drone,attitude,malecns,community_rewired,joint,20000,1,ready,unmeasured
761e5d5f7b8ea2bce330a7e1,drone,attitude,malecns,random,joint,20000,1,ready,unmeasured
febe378a14d7cb8b6f77ebb5,drone,attitude,malecns,adapter_only,joint,20000,1,ready,unmeasured
f04ee571073e7aecda786afb,drone,attitude,malecns,rnn,joint,20000,1,ready,unmeasured
2a0ebe3dd604abcff5b137e9,drone,attitude,malecns,gru,joint,20000,1,ready,unmeasured
0f758aececb8a9fc33d265e1,drone,attitude,malecns,real,adapters,20000,2,ready,unmeasured
8c70b02bc84ebf29efd351a1,drone,attitude,malecns,degree_rewired,adapters,20000,2,ready,unmeasured
da185d1a70d6d0e3829b7514,drone,attitude,malecns,community_rewired,adapters,20000,2,ready,unmeasured
1069919923a8b129f0646bb5,drone,attitude,malecns,random,adapters,20000,2,ready,unmeasured
ca4438d7e00ffe1c6b778dfe,drone,attitude,malecns,adapter_only,adapters,20000,2,ready,unmeasured
601511a3af1adf37633cba0c,drone,attitude,malecns,rnn,adapters,20000,2,ready,unmeasured
5289a3b013e25ad73d37e3f1,drone,attitude,malecns,gru,adapters,20000,2,ready,unmeasured
fb3864b42fcafb86f0bfb17d,drone,attitude,malecns,real,joint,20000,2,ready,unmeasured
52f76933467161eb0044d8f4,drone,attitude,malecns,degree_rewired,joint,20000,2,ready,unmeasured
5f6096fafaf44ca4afe202a7,drone,attitude,malecns,community_rewired,joint,20000,2,ready,unmeasured
357795413618091b01ad7541,drone,attitude,malecns,random,joint,20000,2,ready,unmeasured
9efc7372d0bf8639703c2e67,drone,attitude,malecns,adapter_only,joint,20000,2,ready,unmeasured
3133e0c3990a8bf3fe5a4816,drone,attitude,malecns,rnn,joint,20000,2,ready,unmeasured
5e0de91a04d2017cf8c23d6a,drone,attitude,malecns,gru,joint,20000,2,ready,unmeasured
a02e62388df2a18e51b67b39,drone,attitude,malecns,real,adapters,80000,0,ready,unmeasured
bd399444580b14c13c006ca2,drone,attitude,malecns,degree_rewired,adapters,80000,0,ready,unmeasured
d6cd94c773ffc61bc0bf0414,drone,attitude,malecns,community_rewired,adapters,80000,0,ready,unmeasured
2962863dd1148c36f4a0e6bb,drone,attitude,malecns,random,adapters,80000,0,ready,unmeasured
e1b991c700751cd5308c37e5,drone,attitude,malecns,adapter_only,adapters,80000,0,ready,unmeasured
f77b0fb1cd189c77eb9c1fd5,drone,attitude,malecns,rnn,adapters,80000,0,ready,unmeasured
82e28a434e5a7054888c3065,drone,attitude,malecns,gru,adapters,80000,0,ready,unmeasured
e3b420b3477dae0c5b8010ee,drone,attitude,malecns,real,joint,80000,0,ready,unmeasured
3107e17d27924335decad377,drone,attitude,malecns,degree_rewired,joint,80000,0,ready,unmeasured
5f2a1be29be129a241ff9af2,drone,attitude,malecns,community_rewired,joint,80000,0,ready,unmeasured
3060a09408f53b7e5d1255a3,drone,attitude,malecns,random,joint,80000,0,ready,unmeasured
2f6f616d4e4461c40b4b0411,drone,attitude,malecns,adapter_only,joint,80000,0,ready,unmeasured
ee5ecff2603bd409a169b3af,drone,attitude,malecns,rnn,joint,80000,0,ready,unmeasured
b1f3879fcc828ec82f844c54,drone,attitude,malecns,gru,joint,80000,0,ready,unmeasured
1afc596588873092ebf95ecf,drone,attitude,malecns,real,adapters,80000,1,ready,unmeasured
16c158242088999af2dc0734,drone,attitude,malecns,degree_rewired,adapters,80000,1,ready,unmeasured
8431e9de36e3da52be50fab7,drone,attitude,malecns,community_rewired,adapters,80000,1,ready,unmeasured
b6306b2bf9e80bb51fa177ed,drone,attitude,malecns,random,adapters,80000,1,ready,unmeasured
d349ae3514b0bf0621b02ea9,drone,attitude,malecns,adapter_only,adapters,80000,1,ready,unmeasured
bf09f0c7d3d05c29a642c6be,drone,attitude,malecns,rnn,adapters,80000,1,ready,unmeasured
a6575661e14fdfb3ade55528,drone,attitude,malecns,gru,adapters,80000,1,ready,unmeasured
9677dac3f5290eef3227344f,drone,attitude,malecns,real,joint,80000,1,ready,unmeasured
878c7a1553f8ba5cc7cc13f8,drone,attitude,malecns,degree_rewired,joint,80000,1,ready,unmeasured
3105cae5abbe6ce4c6f9c294,drone,attitude,malecns,community_rewired,joint,80000,1,ready,unmeasured
27d4e553ae8fb034f86b1aa3,drone,attitude,malecns,random,joint,80000,1,ready,unmeasured
21cadf71c909c096c1791d4e,drone,attitude,malecns,adapter_only,joint,80000,1,ready,unmeasured
9911bd43160069a1fb936305,drone,attitude,malecns,rnn,joint,80000,1,ready,unmeasured
2eaf43f47f6f53fd681bd226,drone,attitude,malecns,gru,joint,80000,1,ready,unmeasured
b247e1b4eb3fbfc143d9d37b,drone,attitude,malecns,real,adapters,80000,2,ready,unmeasured
e79a2bd7d6b8020befc49519,drone,attitude,malecns,degree_rewired,adapters,80000,2,ready,unmeasured
81ddafc6d317c614a94a6e62,drone,attitude,malecns,community_rewired,adapters,80000,2,ready,unmeasured
50cb5a18222c1cb16b1e814a,drone,attitude,malecns,random,adapters,80000,2,ready,unmeasured
00e0786c50dfb0440e4a73b6,drone,attitude,malecns,adapter_only,adapters,80000,2,ready,unmeasured
4d3cf5e4c1fcb5635c960259,drone,attitude,malecns,rnn,adapters,80000,2,ready,unmeasured
4b01afce3d8f33ab32678394,drone,attitude,malecns,gru,adapters,80000,2,ready,unmeasured
3783e2b9eb9b60e4d7b6e036,drone,attitude,malecns,real,joint,80000,2,ready,unmeasured
d1a9fb330cfd59c24e296742,drone,attitude,malecns,degree_rewired,joint,80000,2,ready,unmeasured
6b02f78c01edb7f41b14cac9,drone,attitude,malecns,community_rewired,joint,80000,2,ready,unmeasured
cd2ee7deb7eaa957fbee6117,drone,attitude,malecns,random,joint,80000,2,ready,unmeasured
aeead001455562cc0ee3ca47,drone,attitude,malecns,adapter_only,joint,80000,2,ready,unmeasured
1a2b4f045a74db87a3d8d174,drone,attitude,malecns,rnn,joint,80000,2,ready,unmeasured
4bcc6c05856ef2568733c754,drone,attitude,malecns,gru,joint,80000,2,ready,unmeasured
dc225075f606624de19a49f6,drone,attitude,celegans,real,adapters,5000,0,ready,unmeasured
0649fa123cfe4ec9981cf9c2,drone,attitude,celegans,degree_rewired,adapters,5000,0,ready,unmeasured
40217e4022d8be7e421b3cad,drone,attitude,celegans,community_rewired,adapters,5000,0,ready,unmeasured
3291336986c93ebe61a65bfc,drone,attitude,celegans,random,adapters,5000,0,ready,unmeasured
fff7531b6e2088d851e32741,drone,attitude,celegans,adapter_only,adapters,5000,0,ready,unmeasured
4c8b0f9d0b99b4bc00a46c35,drone,attitude,celegans,rnn,adapters,5000,0,ready,unmeasured
f0c5e4c77d9142cf454a1a81,drone,attitude,celegans,gru,adapters,5000,0,ready,unmeasured
961c0c5ac039b6e82a1b7fe7,drone,attitude,celegans,real,joint,5000,0,ready,unmeasured
d0a2ace5567464c2fe32f080,drone,attitude,celegans,degree_rewired,joint,5000,0,ready,unmeasured
0cd4c67bfadd233c8f6b730d,drone,attitude,celegans,community_rewired,joint,5000,0,ready,unmeasured
317e1ebfc5eb5c8007dd5674,drone,attitude,celegans,random,joint,5000,0,ready,unmeasured
ddfa4f15a2f1b6fa15b2c3fc,drone,attitude,celegans,adapter_only,joint,5000,0,ready,unmeasured
9bd2d40d666abfc0afc61d8e,drone,attitude,celegans,rnn,joint,5000,0,ready,unmeasured
bdef1fad77e7bddc17916642,drone,attitude,celegans,gru,joint,5000,0,ready,unmeasured
5601ba2ed8b74ca5c8c04235,drone,attitude,celegans,real,adapters,5000,1,ready,unmeasured
20a6cb10e6ebc534858ea466,drone,attitude,celegans,degree_rewired,adapters,5000,1,ready,unmeasured
4bc417613913bef95967e6d8,drone,attitude,celegans,community_rewired,adapters,5000,1,ready,unmeasured
6b2c96cdef2b06e4f91b52d3,drone,attitude,celegans,random,adapters,5000,1,ready,unmeasured
3d78b3a764bea559a77a913c,drone,attitude,celegans,adapter_only,adapters,5000,1,ready,unmeasured
71203c1ae22a34be9491854e,drone,attitude,celegans,rnn,adapters,5000,1,ready,unmeasured
5530dd7c379f21d1da1acc3c,drone,attitude,celegans,gru,adapters,5000,1,ready,unmeasured
54165475f61ddea1d7997bd0,drone,attitude,celegans,real,joint,5000,1,ready,unmeasured
5c7c5f09a2a52abc6cad43f7,drone,attitude,celegans,degree_rewired,joint,5000,1,ready,unmeasured
716b25a02b56ef73f433db68,drone,attitude,celegans,community_rewired,joint,5000,1,ready,unmeasured
9eccd8d1928cba00081a5f68,drone,attitude,celegans,random,joint,5000,1,ready,unmeasured
2c23aba89bdebf5b38d963aa,drone,attitude,celegans,adapter_only,joint,5000,1,ready,unmeasured
7a1eff4dc3c6e108f3670400,drone,attitude,celegans,rnn,joint,5000,1,ready,unmeasured
37b2490437b9c07e41605a6f,drone,attitude,celegans,gru,joint,5000,1,ready,unmeasured
4d53b62a1a1c5fbbb66f2237,drone,attitude,celegans,real,adapters,5000,2,ready,unmeasured
